ind	population
SR0719r_405	19 Ref
SR0719r_406	19 Ref
SR0719r_407	19 Ref
SR0719r_408	19 Ref
SR0719r_409	19 Ref
SR0719r_410	19 Ref
SR0719r_411	19 Ref
SR0719r_414	19 Ref
SR0719r_415	19 Ref
SR0719r_417	19 Ref
SR0719r_418	19 Ref
SR0719r_419	19 Ref
SR0719r_420	19 Ref
SR0719r_422	19 Ref
SR0719r_424	19 Ref
SR0719r_425	19 Ref
SR0719r_426	19 Ref
SR0719r_427	19 Ref
Cv102_REF	19 Ref
Cv104_CHR	20 Surv.
Cv105_REF	20 Ref
Cv112_REF	20 Ref
Cv115_CHR	20 Surv.
Cv121_CHR	20 Surv.
Cv125_CHR	20 Surv.
Cv128_CHR	20 Surv.
Cv129_CHR	20 Surv.
Cv133_REF	20 Ref
Cv135_REF	20 Ref
Cv136_CHR	20 Surv.
Cv139_CHR	20 Surv.
Cv142_CHR	20 Surv.
Cv147_REF	20 Ref
Cv150_CHR	20 Surv.
Cv15_CHR	20 Surv.
Cv161_REF	20 Ref
Cv162_CHR	20 Surv.
Cv164_CHR	20 Surv.
Cv165_CHR	20 Surv.
Cv169_REF	20 Ref
Cv171_REF	20 Ref
Cv174_REF	20 Ref
Cv178_REF	20 Ref
Cv179_CHR	20 Surv.
Cv180_CHR	20 Surv.
Cv181_REF	20 Ref
Cv183_REF	20 Ref
Cv188_CHR	20 Surv.
Cv193_REF	20 Ref
Cv194_REF	20 Ref
Cv199_CHR	20 Surv.
Cv19_CHR	20 Surv.
Cv203_REF	20 Ref
Cv209_REF	20 Ref
Cv20_REF	20 Ref
Cv213_REF	20 Ref
Cv216_CHR	20 Surv.
Cv218_REF	20 Ref
Cv220_CHR	20 Surv.
Cv226_REF	20 Ref
Cv230_CHR	20 Surv.
Cv240_CHR	20 Surv.
Cv241_CHR	20 Surv.
Cv242_CHR	20 Surv.
Cv243_REF	20 Ref
Cv247_CHR	20 Surv.
Cv249_CHR	20 Surv.
Cv257_REF	20 Ref
Cv259_CHR	20 Surv.
Cv261_REF	20 Ref
Cv263_CHR	20 Surv.
Cv268_REF	20 Ref
Cv270_CHR	20 Surv.
Cv275_REF	20 Ref
Cv277_CHR	20 Surv.
Cv278_REF	20 Ref
Cv279_CHR	20 Surv.
Cv27_REF	20 Ref
Cv283_REF	20 Ref
Cv28_CHR	20 Surv.
Cv290_CHR	20 Surv.
Cv294_CHR	20 Surv.
Cv295_REF	20 Ref
Cv299_CHR	20 Surv.
Cv300_CHR	20 Surv.
Cv301_REF	20 Ref
Cv304_CHR	20 Surv.
Cv305_REF	20 Ref
Cv311_CHR	20 Surv.
Cv315_REF	20 Ref
Cv316_CHR	20 Surv.
Cv318_CHR	20 Surv.
Cv321_REF	20 Ref
Cv326_CHR	20 Surv.
Cv328_REF	20 Ref
Cv330_REF	20 Ref
Cv331_CHR	20 Surv.
Cv332_REF	20 Ref
Cv33_REF	20 Ref
Cv348_CHR	20 Surv.
Cv35_REF	20 Ref
Cv39_REF	20 Ref
Cv41_CHR	20 Surv.
Cv42_REF	20 Ref
Cv44_CHR	20 Surv.
Cv47_CHR	20 Surv.
Cv50_REF	20 Ref
Cv54_REF	20 Ref
Cv56_CHR	20 Surv.
Cv5_REF	20 Ref
Cv63_REF	20 Ref
Cv64_REF	20 Ref
Cv68_REF	20 Ref
Cv69_REF	20 Ref
Cv72_CHR	20 Surv.
Cv76_REF	20 Ref
Cv78_CHR	20 Surv.
Cv82_REF	20 Ref
Cv87_CHR	20 Surv.
